SP1 1LA,10,415247,130197,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LB,10,415167,130154,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LD,10,415195,130177,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LE,10,415232,130150,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LG,10,415110,130175,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LH,10,415206,130268,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LJ,10,415193,130409,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LN,10,415057,130531,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LP,10,415131,130574,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LQ,10,415162,130284,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LR,10,415218,130608,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LS,10,415270,130426,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LT,10,415191,130526,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LW,10,415305,130291,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1LY,10,414936,130309,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1NA,10,415068,130060,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1NB,10,415088,130090,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1ND,10,415068,130084,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1NE,10,415017,130101,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1NF,10,415075,130028,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1NG,10,415084,129994,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1NH,10,415134,130079,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1NJ,10,415941,129580,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1NL,10,415847,129792,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1NP,10,415875,129832,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1NQ,10,415051,130082,E92000001,E19000002,E18000010,,E06000054,E05008389
SP1 1NR,10,415905,129863,E92000001,E19000002,E18000010,,E06000054,E05008367
